0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:34:16 +0530] "GET /Online_Social_Network/UploadPage/assets/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 144669
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:34:16 +0530] "GET /Online_Social_Network/UploadPage/assets/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:34:20 +0530] "GET /Online_Social_Network/ImagesWeb.jsp HTTP/1.1" 200 13927
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:35:05 +0530] "GET /Online_Social_Network/UpdateImagesWeb.jsp HTTP/1.1" 200 6092
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:36:01 +0530] "POST /Online_Social_Network/UpdateImages.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:36:01 +0530] "GET /Online_Social_Network/UpdateImagesWeb.jsp HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:36:12 +0530] "POST /Online_Social_Network/UpdateImages.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:36:12 +0530] "GET /Online_Social_Network/UpdateImagesWeb.jsp HTTP/1.1" 200 2748
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:36:21 +0530] "POST /Online_Social_Network/UpdateImages.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:36:21 +0530] "GET /Online_Social_Network/UpdateImagesWeb.jsp HTTP/1.1" 200 3256
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:36:32 +0530] "POST /Online_Social_Network/UpdateImages.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:36:32 +0530] "GET /Online_Social_Network/UpdateImagesWeb.jsp HTTP/1.1" 200 3770
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:36:35 +0530] "GET /Online_Social_Network/ImagesWeb.jsp HTTP/1.1" 200 6561
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:36:56 +0530] "GET /Online_Social_Network/FirstWeb.jsp HTTP/1.1" 200 2641
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:36:56 +0530] "GET /Online_Social_Network/assets/css/Community-ChatComments.css HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:36:56 +0530] "GET /Online_Social_Network/assets/css/footer.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:36:56 +0530] "GET /Online_Social_Network/assets/css/home.css HTTP/1.1" 404 1127
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:36:56 +0530] "GET /Online_Social_Network/assets/css/Pretty-User-List.css HTTP/1.1" 404 1139
